年份,主队名称,客队名称,阶段,阶段类型,参赛次数差,比赛场次差,场均进球差,场均失球差,净胜球差,成绩排名差,近3届场均进球差,近3届胜率差,场均净胜球差,淘汰赛胜率差,小组赛胜率差,场均半场进球差,半场胜率差,交锋胜场,交锋平局,交锋负场,交锋净胜球,交锋总场次,交锋胜率,胜负结果,胜负编码
1954,Austria,Uruguay,三四名决赛,1,-1,-4,-2.0,0.75,-22,-20.0,-2.0,0.25,-2.75,0.0,-0.8333333333333334,-1.25,-0.125,0,0,0,0,0,0.0,主队胜,1
1954,Germany FR,Hungary,决赛,1,-2,-6,-3.3333333333333335,-1.5,-11,-100.0,-3.3333333333333335,-1.0,-1.8333333333333335,-1.0,-1.0,-1.8333333333333333,-0.5,0,0,0,0,0,0.0,主队胜,1
1958,Sweden,Mexico,小组赛,0,0,2,1.6,-1.0750000000000002,21,70.0,1.95,-0.125,2.6750000000000003,1.0,-0.19999999999999996,1.475,0.6,0,0,0,0,0,0.0,主队胜,1
1958,Soviet Union,England,小组赛,0,-2,-6,-1.6666666666666667,-1.6666666666666667,0,-40.0,-1.6666666666666667,-0.8333333333333334,0.0,-1.0,-0.8,-0.5,-0.3333333333333333,0,0,0,0,0,0.0,平局,0
1958,Argentina,Germany FR,小组赛,0,1,0,-0.8333333333333335,-0.3333333333333335,-3,0.0,-4.166666666666667,-1.0,-0.5,0.0,0.0,0.0,0.16666666666666663,0,0,0,0,0,0.0,客队胜,-1
1958,Hungary,Wales,小组赛,0,3,11,4.2727272727272725,1.7272727272727273,28,100.0,4.666666666666667,1.0,2.545454545454545,1.0,1.0,2.0,0.5454545454545454,0,0,0,0,0,0.0,平局,0
1958,France,Paraguay,小组赛,0,2,4,0.875,-0.125,4,30.0,0.75,0.5,1.0,1.0,0.25,0.375,0.125,0,0,0,0,0,0.0,主队胜,1
1958,Yugoslavia,Scotland,小组赛,0,2,7,1.7777777777777777,-2.5555555555555554,11,50.0,1.5,-0.16666666666666663,4.333333333333333,1.0,-0.1428571428571429,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0.0,平局,0
1958,Brazil,Austria,小组赛,0,3,8,0.274509803921569,-0.5228758169934642,18,0.0,-0.2571428571428571,-0.2142857142857143,0.7973856209150332,-0.16666666666666663,-0.18181818181818177,-0.4444444444444444,-0.0326797385620915,0,0,0,0,0,0.0,主队胜,1
1958,Northern Ireland,Czechoslovakia,小组赛,0,-3,-9,-1.5555555555555556,-1.7777777777777777,2,-100.0,-1.0,-0.8,0.2222222222222221,-0.8333333333333334,-1.0,-0.3333333333333333,-0.2222222222222222,0,0,0,0,0,0.0,主队胜,1
1958,Brazil,England,小组赛,0,3,11,1.2745098039215688,-0.07843137254901977,23,40.0,1.476190476190476,-0.04761904761904767,1.3529411764705885,-0.16666666666666663,0.018181818181818188,0.5,0.0784313725490196,0,0,0,0,0,0.0,平局,0
1958,Mexico,Wales,小组赛,0,3,8,1.0,3.875,-23,10.0,0.8,1.0,-2.875,0.0,1.0,0.125,0.0,0,0,0,0,0,0.0,平局,0
1958,Paraguay,Scotland,小组赛,0,1,2,0.75,-2.25,4,0.0,1.0,-0.5,3.0,0.0,-0.25,0.5,0.25,0,0,0,0,0,0.0,主队胜,1
1958,Yugoslavia,France,小组赛,0,-1,1,0.15277777777777768,-0.18055555555555558,3,20.0,-0.25,-0.16666666666666663,0.33333333333333326,0.0,-0.1428571428571429,-0.20833333333333337,-0.041666666666666685,1,0,0,1,1,1.0,主队胜,1
1958,Soviet Union,Austria,小组赛,0,-2,-9,-2.6666666666666665,-2.111111111111111,-5,-80.0,-3.4,-1.0,-0.5555555555555554,-1.0,-1.0,-1.4444444444444444,-0.4444444444444444,0,0,0,0,0,0.0,主队胜,1
1958,Germany FR,Czechoslovakia,小组赛,0,-2,-3,2.6111111111111116,0.5555555555555558,13,0.0,3.166666666666667,0.19999999999999996,2.0555555555555554,0.16666666666666663,0.0,1.1666666666666667,0.2777777777777778,0,0,0,0,0,0.0,平局,0
